model,budget_per_class,labeled_runs,pct_of_dev_labels,n_measurements,Recall@1_mean,Recall@1_std,Recall@1_std_over_seeds,Recall@1_seed5,Recall@1_seed17,Recall@1_seed42,Recall@3_mean,Recall@3_std,Recall@3_std_over_seeds,Recall@3_seed5,Recall@3_seed17,Recall@3_seed42,MRR_mean,MRR_std,MRR_std_over_seeds,MRR_seed5,MRR_seed17,MRR_seed42,F1macro_mean,F1macro_std,F1macro_std_over_seeds,F1macro_seed5,F1macro_seed17,F1macro_seed42
logistic,1,21,0.25,15,0.40707936507936515,0.019508601639248037,0.003916230415871134,0.41257142857142864,0.40371428571428575,0.40495238095238095,0.5541587301587302,0.013321385425314662,0.003581537720932173,0.5586666666666666,0.5499047619047619,0.5539047619047619,0.5279215052436821,0.014871182425477015,0.003695895296247839,0.5329051441915661,0.5240651454848492,0.5267942260546307,0.41617799794078564,0.016478048522269587,0.0026054336060871187,0.419709159154502,0.41350104376855973,0.4153237908992953
logistic,2,42,0.5,15,0.4434285714285714,0.014907322666576052,0.008901578244226972,0.43657142857142855,0.4377142857142857,0.45599999999999996,0.586952380952381,0.011168739442781388,0.00605192947250178,0.5846666666666668,0.580952380952381,0.5952380952380952,0.5581562396798575,0.011228423949253153,0.006520797597691359,0.553386765178406,0.5537057529620444,0.5673762008991222,0.45362009476767107,0.012907839862354699,0.007145227892673932,0.45001766940339927,0.4472452251924842,0.4635973897071296
logistic,5,105,1.25,15,0.47400000000000003,0.009740084013165501,0.0019855867645856224,0.4760952380952381,0.47457142857142853,0.4713333333333334,0.6193015873015872,0.008830077552848387,0.0014261001552517939,0.6206666666666667,0.6199047619047618,0.6173333333333334,0.5866261555283927,0.008113128854590581,0.0012376843379084586,0.5880374898231489,0.58681709052901,0.5850238862330194,0.48750372729608776,0.010978270048765679,0.0017990455689958747,0.4899593391538232,0.48685239794271784,0.48569944479172245
logistic,10,210,2.5,15,0.4962539682539683,0.008071611959646606,0.001106111199376785,0.4978095238095238,0.4953333333333333,0.4956190476190477,0.6387619047619048,0.007051907747004352,0.0015493884878618929,0.6365714285714286,0.6398095238095238,0.6399047619047619,0.605714235468448,0.006402209478729095,0.0003972461940366895,0.6062759451467987,0.6054416562531445,0.6054251050054014,0.5121141905497264,0.007591615812958969,0.0003064070686947287,0.5117396174599796,0.5124901545652933,0.5121127996239061
logistic,20,420,5.0,15,0.5243809523809525,0.004130157510095835,0.0012988744473320245,0.5258095238095238,0.5226666666666666,0.5246666666666667,0.6642539682539682,0.005662374435955348,0.002471709417120273,0.6620952380952381,0.662952380952381,0.6677142857142858,0.6305557854745383,0.0031878122110361963,0.0011557143950931287,0.6305999011185875,0.629118788077125,0.6319486672279021,0.5396094637470701,0.004890771756212658,0.0016117738526344844,0.5415073537147281,0.5375672517871316,0.5397537857393505
logistic,50,1050,12.5,15,0.5836825396825398,0.004171191798262071,0.0021998877636914592,0.5812380952380952,0.5865714285714285,0.5832380952380953,0.6947936507936509,0.005948803157552493,0.002716466217813516,0.6983809523809524,0.6941904761904761,0.6918095238095239,0.677985369342328,0.003650546868059712,0.0011917274799779752,0.677292916576928,0.6796622735431226,0.677000917906933,0.5926763099536612,0.004094878386355337,0.0011527054427607718,0.5911187014810114,0.5938716314658617,0.5930385969141099
logistic,100,2100,25.0,15,0.6200952380952381,0.006457489338458984,0.0030446414025039887,0.6230476190476191,0.6159047619047618,0.6213333333333333,0.7212063492063492,0.0072131287597974394,0.003839039100401514,0.7251428571428571,0.716,0.7224761904761905,0.7073551805029322,0.004982022500553753,0.002591002550477122,0.7097301861708982,0.7037511817797089,0.7085841735581895,0.6245220036910986,0.0062902860826139105,0.003611140933143419,0.6284382979088181,0.6197252851177997,0.6254024280466781
logistic,200,4200,50.0,15,0.6422222222222221,0.0054811341844178555,0.001061476412527011,0.6410476190476191,0.642,0.6436190476190476,0.7326666666666666,0.005428849895391931,0.0025065296435748635,0.7312380952380952,0.7305714285714286,0.7361904761904763,0.7240875080516537,0.004414979089369041,0.0011569743075081074,0.7230894034536892,0.7234637403601689,0.725709380341103,0.6442796988931564,0.005053800807591311,0.0013116942101716435,0.6426441817368456,0.6443394170534871,0.6458554978891369
logistic,400,8400,100.0,15,0.6546349206349206,0.005298259577233343,0.0010355242177968035,0.654952380952381,0.6532380952380953,0.6557142857142857,0.7335238095238095,0.0031094909937741905,0.0003110463165438873,0.7339047619047618,0.7331428571428571,0.7335238095238095,0.7314952830679019,0.0038294412311292944,0.0005875431967295022,0.731476219415505,0.7307854137925567,0.7322242159956446,0.651258425951365,0.005101983247192143,0.0009150596337554701,0.6518056859533362,0.6499692266185879,0.6520003652821702
rf,1,21,0.25,15,0.3133650793650793,0.011841057064346431,0.006387030193988146,0.3223809523809523,0.30933333333333335,0.30838095238095237,0.46199999999999997,0.010032750602705353,0.005682983045575278,0.46971428571428564,0.4600952380952381,0.45619047619047615,0.4440102706469248,0.00923319766608044,0.005231125557460395,0.4513217630985654,0.4413310337626237,0.4393780150795852,0.311722496000727,0.011678568147670789,0.007329790389498613,0.3200709199334552,0.31286961883970715,0.3022269492290187
rf,2,42,0.5,15,0.4419365079365079,0.02089708914162679,0.004939135726865111,0.441047619047619,0.43638095238095237,0.44838095238095244,0.5938095238095238,0.02183702431974981,0.008563311853584384,0.5882857142857143,0.5872380952380952,0.605904761904762,0.5625340403872395,0.018131158927580583,0.0057295426404897565,0.560591341539683,0.556692833081378,0.5703179465406578,0.4443174027583837,0.0223414946716468,0.00497943607072965,0.440497214758712,0.4411043338573255,0.4513506596591138
rf,5,105,1.25,15,0.5516507936507937,0.008592331947984717,0.005299971239291214,0.559142857142857,0.548095238095238,0.5477142857142857,0.676063492063492,0.007235309962570498,0.004291941390204632,0.6819047619047619,0.6745714285714286,0.6717142857142856,0.6535263849295768,0.0066514820909225605,0.003943828859969559,0.6590713648200048,0.6512740657507022,0.6502337242180232,0.5462568526030862,0.008339430617140875,0.0057691162364244914,0.5541572221704836,0.5405425324084934,0.5440708032302815
rf,10,210,2.5,15,0.5754603174603174,0.008210876525880486,0.0016428379724362748,0.5773333333333334,0.5757142857142858,0.5733333333333334,0.6906349206349206,0.008781666235946714,0.002341041151058613,0.6874285714285715,0.692952380952381,0.6915238095238097,0.672596096921027,0.006585609109154139,0.0007717032533253041,0.6721299903644441,0.6736837538356446,0.6719745465629919,0.566184702507082,0.007575306559627069,0.0007541194138921981,0.5672016253969366,0.5659545305026314,0.5653979516216778
rf,20,420,5.0,15,0.5807936507936508,0.005408949965837192,0.0021777870331608916,0.5808571428571427,0.5834285714285714,0.5780952380952382,0.7015873015873015,0.00659752505570613,0.0008168051003345604,0.7005714285714285,0.7016190476190476,0.7025714285714286,0.6794467205322946,0.003975002153289887,0.0011840468268997776,0.6792828808757381,0.6809718374218373,0.6780854432993089,0.5761266757141641,0.006915310603239486,0.002717271877276678,0.5771539955934598,0.5788198537937745,0.5724061777552578
rf,50,1050,12.5,15,0.5837460317460317,0.006937506738594739,0.0014450548160941123,0.5832380952380952,0.5822857142857143,0.5857142857142857,0.6991428571428572,0.008638537991138246,0.0029631141306864835,0.7033333333333334,0.697047619047619,0.6970476190476191,0.6810468694444883,0.005976361360904536,0.0013504577362600247,0.6818048818905961,0.6791497502497503,0.682185976193119,0.5822580940625548,0.006862785833935825,0.0018473014765019763,0.5815542396214898,0.5804312083466527,0.5847888342195218
rf,100,2100,25.0,15,0.5873015873015873,0.005372494171760312,0.0007552620478330407,0.5862857142857143,0.5875238095238096,0.5880952380952381,0.6838412698412699,0.005736640576114327,0.003087372994644859,0.6813333333333333,0.6819999999999999,0.6881904761904761,0.6791757374459755,0.0046600037502422574,0.0009750236140364302,0.6781019388019388,0.6789634879670594,0.6804617855689284,0.5924746667983035,0.0044893667004017096,0.0005022353238545642,0.591907126170957,0.5923885942966832,0.5931282799272704
