seed,fold,trivial,logistic,rf,hgb,mlp,cnn,ablation,lookup,proposed
5,0,0.14285714285714285,0.7285714285714285,0.6995238095238095,0.6604761904761904,0.7252380952380952,0.789047619047619,0.8504761904761905,0.8504761904761905,0.8480952380952381
5,1,0.14285714285714285,0.73,0.7014285714285714,0.65,0.7642857142857142,0.7719047619047619,0.8566666666666667,0.8566666666666667,0.8504761904761905
5,2,0.14285714285714285,0.7328571428571429,0.6961904761904761,0.6514285714285715,0.7533333333333333,0.7952380952380952,0.8547619047619047,0.8547619047619047,0.8504761904761905
5,3,0.14285714285714285,0.7385714285714285,0.7066666666666667,0.6657142857142857,0.7628571428571429,0.7919047619047619,0.8666666666666667,0.8666666666666667,0.8580952380952381
5,4,0.14285714285714285,0.7352380952380952,0.7066666666666667,0.6580952380952381,0.7528571428571429,0.7842857142857143,0.8314285714285714,0.8314285714285714,0.8247619047619048
17,0,0.14285714285714285,0.7333333333333333,0.6942857142857143,0.6419047619047619,0.7533333333333333,0.7914285714285715,0.8633333333333333,0.8633333333333333,0.8528571428571429
17,1,0.14285714285714285,0.7352380952380952,0.7152380952380952,0.6642857142857143,0.7666666666666667,0.7761904761904762,0.8447619047619047,0.8447619047619047,0.8328571428571429
17,2,0.14285714285714285,0.7314285714285714,0.7076190476190476,0.659047619047619,0.7023809523809523,0.79,0.8509523809523809,0.8509523809523809,0.8447619047619047
17,3,0.14285714285714285,0.729047619047619,0.6952380952380952,0.65,0.7538095238095238,0.7876190476190477,0.8423809523809523,0.8423809523809523,0.8395238095238096
17,4,0.14285714285714285,0.7357142857142858,0.7033333333333334,0.6533333333333333,0.7638095238095238,0.7742857142857142,0.8347619047619048,0.8347619047619048,0.83
42,0,0.14285714285714285,0.73,0.7061904761904761,0.6452380952380953,0.768095238095238,0.7895238095238095,0.8628571428571429,0.8628571428571429,0.8509523809523809
42,1,0.14285714285714285,0.7323809523809524,0.7057142857142857,0.6495238095238095,0.7585714285714286,0.7852380952380953,0.8485714285714285,0.8485714285714285,0.8404761904761905
42,2,0.14285714285714285,0.7338095238095238,0.7019047619047619,0.6595238095238095,0.7642857142857142,0.7852380952380953,0.8590476190476191,0.8590476190476191,0.8495238095238096
42,3,0.14285714285714285,0.7323809523809524,0.7123809523809523,0.659047619047619,0.7576190476190476,0.7952380952380952,0.8580952380952381,0.8580952380952381,0.8447619047619047
42,4,0.14285714285714285,0.7390476190476191,0.7,0.6495238095238095,0.7571428571428571,0.7847619047619048,0.86,0.86,0.8557142857142858
