model,Recall@1_mean,Recall@3_mean,MRR_mean,F1macro_mean,Recall@1_std,Recall@3_std,MRR_std,F1macro_std
Trivial (freq),0.04761904761904763,0.14285714285714282,0.17358850975060622,0.004329004329004329,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0
logistic {'C': 10.0},0.6552380952380952,0.7331746031746033,0.731769384627718,0.6519045122923767,0.005325390911453194,0.0030746158762675006,0.003809948294723387,0.0048736512460176955
rf {'max_depth': 20},0.6297460317460317,0.7034920634920635,0.7072954096608858,0.6381001904923443,0.0060805046799598285,0.005815678932091168,0.0045165238165033135,0.004854203207427007
hgb {'learning_rate': 0.05},0.6260317460317459,0.6544761904761905,0.6897639587925302,0.6401060421979938,0.005192199121840031,0.006742875078444431,0.004851910585946647,0.004900255345874668
