model,feature_set,Recall@1,Recall@3,MRR,F1macro
Random Forest (max_depth=20),mean+std only (104),0.6302857142857142,0.7038412698412698,0.7079515560717943,0.6385252831692145
Random Forest (max_depth=20),+ domain families (273),0.6401269841269841,0.7226349206349207,0.7190022422903375,0.6465084384724433
HistGB (lr=0.05),mean+std only (104),0.6259682539682541,0.6537460317460317,0.6897393132440751,0.6401384979439467
HistGB (lr=0.05),+ domain families (273),0.6312063492063491,0.6578412698412699,0.6943305858570749,0.6464181094716551
