seed,fold,trivial,logistic,rf,hgb,mlp,cnn,ablation,lookup,proposed,rootchrono_ablation,rootkb_ablation,grounding_ablation,rootchrono_lookup,rootkb_lookup,grounding_lookup,rootchrono_proposed,rootkb_proposed,grounding_proposed
5,0,0.0043290043290043,0.6500810944161722,0.6371500169434021,0.6436858431348164,0.6332281336171295,0.695813493195879,0.7475567924910252,0.7475567924910252,0.7382520699431725,0.3413919413919414,0.3413919413919414,,0.3413919413919414,0.6205128205128205,1.6061904761904762,0.3568281938325991,0.3788546255506608,0.8890476190476191
5,1,0.0043290043290043,0.6486831621830781,0.6317891173482494,0.6363943005957367,0.6524434066851241,0.6846217416493217,0.757310376091198,0.757310376091198,0.7483068342927167,0.3441894892672095,0.3441894892672095,,0.3441894892672095,0.6210214655810511,1.620952380952381,0.35988200589970504,0.39085545722713866,0.9085714285714286
5,2,0.0043290043290043,0.6490983965033974,0.6353842072768001,0.6398601060875974,0.6523692843301561,0.6976260435658245,0.7533465070042886,0.7533465070042886,0.746902812683121,0.36343772760378734,0.36343772760378734,,0.36343772760378734,0.6139839766933721,1.6142857142857143,0.36548223350253806,0.3966642494561276,0.8976190476190475
5,3,0.0043290043290043,0.6508208245366449,0.6442563725308017,0.6443608480531855,0.6629691188021909,0.7066699128237707,0.7576285573980837,0.7576285573980837,0.7453674502583222,0.3446244477172312,0.3446244477172312,,0.3446244477172312,0.6192930780559647,1.631904761904762,0.35640648011782033,0.38144329896907214,0.9233333333333333
5,4,0.0043290043290043,0.6620761586274063,0.6440520868734924,0.6458652750725404,0.6562744147063457,0.6935582072311868,0.7383192044323277,0.7383192044323277,0.730819145635204,0.3526818515797208,0.3526818515797208,,0.3526818515797208,0.6238060249816312,1.581904761904762,0.35777126099706746,0.37023460410557185,0.9128571428571428
17,0,0.0043290043290043,0.6500972722395363,0.6318419177932597,0.630649067730691,0.6464323146415216,0.6919947706648987,0.7515537078006872,0.7515537078006872,0.7294679357087469,0.3570903747244673,0.3570903747244673,,0.3570903747244673,0.6252755326965467,1.62,0.3575091575091575,0.3941391941391941,0.8914285714285715
17,1,0.0043290043290043,0.6545635481759474,0.6482663914838337,0.647662069379445,0.665570091787189,0.6965948482701264,0.750558774602241,0.750558774602241,0.742374312098657,0.34952170713760117,0.34952170713760117,,0.34952170713760117,0.6158940397350994,1.5966666666666667,0.3585598824393828,0.37913299044819987,0.8914285714285715
17,2,0.0043290043290043,0.6484048229037156,0.6398133620562964,0.6402689983673254,0.6126770347721908,0.6877605192421057,0.7451630426431168,0.7451630426431168,0.7392989520114498,0.35346097201767307,0.35346097201767307,,0.35346097201767307,0.6310751104565537,1.6099999999999999,0.3558823529411765,0.3926470588235294,0.881904761904762
17,3,0.0043290043290043,0.6503223137556717,0.6328326858403353,0.6366228818792975,0.6514742381946715,0.6921814089619858,0.7406480460344239,0.7406480460344239,0.729696531996297,0.3375,0.3375,,0.3375,0.611764705882353,1.6014285714285714,0.35018315018315016,0.3728937728937729,0.9295238095238096
17,4,0.0043290043290043,0.6491241119467028,0.6418460219776159,0.6338169745558526,0.661824643616175,0.6878140691054175,0.7432280578071746,0.7432280578071746,0.731712456089548,0.34081041968162085,0.34081041968162085,,0.34081041968162085,0.6041968162083936,1.5914285714285716,0.3610503282275711,0.36980306345733044,0.9442857142857143
42,0,0.0043290043290043,0.643520134900179,0.6353300831518319,0.6355214404831707,0.6598498136926493,0.7021401299554998,0.7668198261879555,0.7668198261879555,0.748732522462395,0.3362509117432531,0.3362509117432531,,0.3362509117432531,0.6053975200583516,1.6342857142857143,0.3491253644314869,0.37026239067055394,0.9028571428571428
42,1,0.0043290043290043,0.6528056427529835,0.6384649508932171,0.6425179269826368,0.6532679726857016,0.701536812649689,0.7500756497617784,0.7500756497617784,0.7359326955141364,0.3510948905109489,0.3510948905109489,,0.3510948905109489,0.6321167883211679,1.6057142857142856,0.36496350364963503,0.38686131386861317,0.9219047619047618
42,2,0.0043290043290043,0.6497118392484206,0.6406024004053478,0.6436618345546465,0.6576632785729897,0.6969144842440022,0.7634838882425052,0.7634838882425052,0.7511570350416834,0.358187134502924,0.358187134502924,,0.358187134502924,0.6162280701754386,1.6238095238095238,0.3634361233480176,0.3869309838472834,0.94
42,3,0.0043290043290043,0.6586299065349925,0.6372498736247058,0.6450644789696858,0.6590562516006712,0.7064116477364182,0.7475822373859519,0.7475822373859519,0.73793442196392,0.35101744186046513,0.35101744186046513,,0.35101744186046513,0.6148255813953488,1.6185714285714288,0.3699927166788055,0.3794610342316096,0.9147619047619048
42,4,0.0043290043290043,0.6606284556608015,0.6326233691859743,0.6356385871232806,0.6601318673076839,0.701978889997146,0.7678875733799347,0.7678875733799347,0.754226172903257,0.350037397157816,0.350037397157816,,0.350037397157816,0.62528047868362,1.6285714285714286,0.35014836795252224,0.39243323442136496,0.9066666666666667
