model,single_split_R@1,cv_mean_R@1,cv_std,diff
Logistic C=10,0.6561904761904762,0.6552380952380952,0.005325390911453194,-0.0009523809523810378
RF max_depth=20,0.6314285714285715,0.6276190476190476,0.007300897137844406,-0.003809523809523818
RF max_depth=None,0.5980952380952381,0.5985079365079365,0.0036467886935299936,0.0004126984126984201
