budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
1,21,0.25,5,0,cnn,0.05953567042308042,,,0
1,21,0.25,5,0,lookup,0.037098145444097036,0.144,0.4106666666666667,1500
1,21,0.25,5,0,proposed,0.180023206142339,0.144,0.38866666666666666,1500
1,21,0.25,5,1,cnn,0.037468584082455327,,,0
1,21,0.25,5,1,lookup,0.059892692253484626,0.166,0.38533333333333336,1500
1,21,0.25,5,1,proposed,0.1551957331848366,0.166,0.38466666666666666,1500
1,21,0.25,5,2,cnn,0.04433673974000968,,,0
1,21,0.25,5,2,lookup,0.12213968965467444,0.056,0.432,1500
1,21,0.25,5,2,proposed,0.1684330859516233,0.056,0.43466666666666665,1500
1,21,0.25,5,3,cnn,0.07498009574483493,,,0
1,21,0.25,5,3,lookup,0.057850380936094827,0.15266666666666667,0.38266666666666665,1500
1,21,0.25,5,3,proposed,0.17055140635668403,0.15266666666666667,0.37133333333333335,1500
1,21,0.25,5,4,cnn,0.07326475583585862,,,0
1,21,0.25,5,4,lookup,0.08918387144868607,0.12149532710280374,0.42990654205607476,1498
1,21,0.25,5,4,proposed,0.15401323646757084,0.12149532710280374,0.4319092122830441,1498
1,21,0.25,17,0,cnn,0.12955143194257787,,,0
1,21,0.25,17,0,lookup,0.13929696119711416,0.22348232154769845,0.39426284189459637,1499
1,21,0.25,17,0,proposed,0.20080753928281392,0.22348232154769845,0.4883255503669113,1499
1,21,0.25,17,1,cnn,0.11639136232632168,,,0
1,21,0.25,17,1,lookup,0.11308053514967169,0.17733333333333334,0.384,1500
1,21,0.25,17,1,proposed,0.15073889631683374,0.17733333333333334,0.392,1500
1,21,0.25,17,2,cnn,0.09350473484971249,,,0
1,21,0.25,17,2,lookup,0.15164658568723857,0.186,0.418,1500
1,21,0.25,17,2,proposed,0.20450133195298953,0.186,0.4146666666666667,1500
1,21,0.25,17,3,cnn,0.10885144958351105,,,0
1,21,0.25,17,3,lookup,0.0980133096939726,0.22881921280853904,0.39426284189459637,1499
1,21,0.25,17,3,proposed,0.19414670658900354,0.22881921280853904,0.4789859906604403,1499
1,21,0.25,17,4,cnn,0.10039847334090941,,,0
1,21,0.25,17,4,lookup,0.1365846426007864,0.09866666666666667,0.4086666666666667,1500
