family,n_cols,perm_importance_mean,perm_importance_std
fluctuation (std),52,0.19063492063492063,0.015698006639266675
range (max-min),52,0.1682095238095238,0.01049494425308128
trend (slope),52,0.127384126984127,0.009559290521443978
deviation vs normal,52,0.10226031746031745,0.01150442902212973
level (mean),52,0.10128253968253968,0.010434077935463009
control effort (XMV),11,0.07613968253968253,0.004640336040515734
feed/flow ratios,2,0.014819047619047622,0.003329394498233531
