baseline,Recall@1,Recall@3,MRR,macroRecall@1
Trivial (class frequency),0.047619047619047616,0.14285714285714285,0.1735885097506062,0.047619047619047616
Classic (Random Forest),0.5980952380952381,0.621904761904762,0.652249683760962,0.5980952380952381
